nome;descrizione;metodo
Sincronia;Questa runa permette allo Shadowhunter di percepire momentaneamente lo stato emotivo e la posizione spaziale di un suo Parabatai, anche se separati da grandi distanze o barriere magiche. Il Marchio crea un legame sensoriale che consente ai due guerrieri di coordinare i propri movimenti con una precisione sovrumana, agendo come se fossero un'unica entità tattica. L'uso prolungato causa un forte drenaggio di energie vitali, rendendola una risorsa da utilizzare solo nei momenti di estremo bisogno sul campo di battaglia.;zero_shot
Eco dell'Intento;Questa runa, solitamente incisa sull'avambraccio o dietro l'orecchio, permette allo Shadowhunter di percepire per un breve lasso di tempo le tracce residue di energia magica lasciate da un incantesimo o da un portale aperto recentemente. Il marchio vibra leggermente quando entra in risonanza con un residuo demoniaco o fatato, offrendo al cacciatore una sorta di 'scia' sensoriale che si dissolve rapidamente. È uno strumento di indagine delicato: un eccessivo sforzo nella sua attivazione può causare emicranie acute, poiché il sistema nervoso del portatore viene sovraccaricato dall'elaborazione delle frequenze magiche percepite.;few_shot
Vindicta;Questa runa permette allo Shadowhunter di percepire e visualizzare temporaneamente la scia residua di energia magica lasciata da un demone o da uno stregone che ha ferito o ucciso un alleato nelle ultime ventiquattro ore, facilitando il tracciamento preciso del colpevole anche attraverso varchi dimensionali o alterazioni della realtà.;zero_shot
Silenzio (Silentium);Attenua i suoni prodotti dai movimenti dello Shadowhunter, rendendo i passi impercettibili e soffocando il rumore dell'equipaggiamento, facilitando la furtività e l'infiltrazione in ambienti ostili.;few_shot
Vindicta;Questa runa conferisce al Cacciatore la capacità di percepire brevemente l'esatta traccia energetica di un demone che ha inflitto una ferita a un compagno nelle vicinanze. Quando viene attivata, gli occhi dell'utilizzatore brillano di un bianco freddo e permettono di visualizzare il percorso di fuga del nemico sotto forma di una scia luminescente visibile solo a chi porta il Marchio, rendendo impossibile per il demone nascondersi nell'ombra.;zero_shot
Sintonia;Questa runa permette allo Shadowhunter di percepire le vibrazioni magiche e la natura energetica dell'ambiente circostante. Una volta incisa, agisce come un sensore che amplifica la sensibilità verso le tracce lasciate da incantesimi, portali aperti di recente o presenze demoniache celate. Sebbene non fornisca una localizzazione precisa come la runa di Tracciamento, conferisce una consapevolezza spaziale aumentata, avvertendo il portatore di cambiamenti improvvisi nel flusso magico o dell'avvicinarsi di entità soprannaturali. È una runa complessa che richiede una grande concentrazione mentale, poiché l'eccessiva esposizione a fonti magiche intense può causare vertigini o sovraccarico sensoriale al portatore.;few_shot
Sincronia;Questa runa permette allo Shadowhunter di percepire momentaneamente lo stato emotivo e la posizione spaziale di un compagno con cui ha un legame profondo. Se applicata su due individui contemporaneamente, crea un breve ponte empatico che consente di coordinare i movimenti in battaglia senza bisogno di comunicare verbalmente, rendendo i loro riflessi speculari e perfettamente sincronizzati.;zero_shot
Eco-Silenzio;Questa runa permette allo Shadowhunter di assorbire temporaneamente i suoni prodotti dai propri movimenti, rendendolo quasi completamente silenzioso nel muoversi. Viene incisa solitamente sulla pianta dei piedi o lungo la colonna vertebrale. Mentre è attiva, attutisce il rumore dei passi e il fruscio degli abiti, permettendo di infiltrarsi in zone sorvegliate senza allertare i nemici. Tuttavia, richiede una grande concentrazione mentale: se lo Shadowhunter perde la calma o subisce un forte impatto, la runa svanisce istantaneamente, rilasciando in un unico colpo tutti i suoni accumulati e trattenuti.;few_shot
Etereo;Questa runa permette allo Shadowhunter di diventare temporaneamente intangibile, consentendo al corpo di attraversare ostacoli fisici solidi come porte, pareti sottili o barriere magiche non sigillate. L'effetto dura solo pochi secondi e richiede un notevole sforzo fisico, lasciando lo Shadowhunter esausto dopo l'utilizzo.;zero_shot
Silens;"Questa runa conferisce a chi la porta la capacità di muoversi in totale assenza di suono. Quando attivata, attutisce il rumore dei passi, il fruscio degli indumenti e persino il battito cardiaco dello Shadowhunter, rendendolo capace di infiltrarsi in ambienti ostili senza essere udito. L'effetto è temporaneo e richiede una notevole concentrazione; un uso prolungato può causare un leggero stordimento sensoriale una volta che la runa svanisce.";few_shot
