nome;descrizione
Allarme;Una runa di Clary che attiva un allarme dopo un certo periodo di tempo.
Amissio;Rallenta la perdita di sangue e accelera la sostituzione naturale del sangue.
Bussola;Dà allo Shadowhunter un senso delle quattro direzioni cardinali in ogni momento. È una delle prime rune date alla maggior parte degli Shadowhunter.
Destrezza;Dona destrezza allo Shadowhunter.
Lungimirante;"Acuisce la visione; consente allo Shadowhunter di vedere più chiaramente le cose lontane, anche se con qualche limitazione."
Forza;Dona forza allo Shadowhunter.
Mendelin;Garantisce l'invisibilità parziale e temporanea attraverso ilglamour. Come una runa di guarigione, rafforza la costituzione della vittima.
Negromanzia;Un'altra immagine runica che Clary ha evocato nella sua mente. Riporta temporaneamente indietro un Shadowhunter defunto quando disegnata sul suo corpo .Clary voleva usarla per far parlare il defunto per un breve periodo. Tuttavia, il dolore di avere la propria anima forzatamente tirata indietro al mondo dei viventi combinato con il dolore delle lesioni attuali, causanti dolore immenso, rendente i defunti incapaci di parlare. Quando la runa viene distrutta, come fece Luke con l'acido verde, il resuscitato muore ancora una volta.
Visione notturna(Nyx);Permette allo Shadowhunter di vedere al buio.
Apertura / Sblocco delle rune;Una runa con diverse varianti che assicurano che non ci siano serrature banali, in teoria, è chiusa ai Nephilim.
Sangliers;È una di sostituzione del sangue per trasferire il sangue quando il corpo ne ha bisogno, ma è estremamente pericolosa.
Termica;Tiene al caldo lo Shadowhunter.
Per resistere all'inseguimento;Una runa curva che sembra una falce, con tre linee parallele e una stella raggiata. Può essere disegnato sulle porte per bloccarle contro gli inseguitori, e la sua efficacia dipende in gran parte dalla forza e dalla precisione del Marchio e la capacità di iscrizione della persona che lo ha disegnato.
Tracciamento;Permette a qualcuno di tracciare la posizione di una persona e, in alcuni casi, vedere quello che la persona sta vedendo, se si ha un oggetto della persona che viene rintracciata. Viene disegnato sul retro della mano del tracciatore, mentre afferra l'oggetto nell'altra mano. Sono facili da imparare a disegnare ma difficili da usare correttamente. Se usato con successo, lo Shadowhunter vedrà visioni della posizione del soggetto e può essere accompagnato da un consapevole senso di orientamento. Questo è spesso usato dalConclaveper rintracciare criminali e persino demoni.
